condition,cultivation,day,species,replicate,distribution_pct
Commensal,Static,15,F. nucleatum,4,3.8
Commensal,Static,15,F. nucleatum,5,5.0
Commensal,Static,15,F. nucleatum,6,6.2
Commensal,Static,15,F. nucleatum,7,8.0
Commensal,Static,15,F. nucleatum,8,9.8
Commensal,Static,15,F. nucleatum,9,12.0
Commensal,Static,15,P. gingivalis_20709,1,0.0
Commensal,Static,15,P. gingivalis_20709,2,0.0
Commensal,Static,15,P. gingivalis_20709,3,1.0
Commensal,Static,15,P. gingivalis_20709,4,2.2
Commensal,Static,15,P. gingivalis_20709,5,3.0
Commensal,Static,15,P. gingivalis_20709,6,3.8
Commensal,Static,15,P. gingivalis_20709,7,5.0
Commensal,Static,15,P. gingivalis_20709,8,6.2
Commensal,Static,15,P. gingivalis_20709,9,8.0
Commensal,Static,21,S. oralis,1,6.0
Commensal,Static,21,S. oralis,2,8.8
Commensal,Static,21,S. oralis,3,16.0
Commensal,Static,21,S. oralis,4,23.2
Commensal,Static,21,S. oralis,5,28.0
Commensal,Static,21,S. oralis,6,32.8
Commensal,Static,21,S. oralis,7,40.0
Commensal,Static,21,S. oralis,8,47.2
Commensal,Static,21,S. oralis,9,52.0
Commensal,Static,21,A. naeslundii,1,5.0
Commensal,Static,21,A. naeslundii,2,8.100000000000001
Commensal,Static,21,A. naeslundii,3,15.0
Commensal,Static,21,A. naeslundii,4,22.4
Commensal,Static,21,A. naeslundii,5,27.0
Commensal,Static,21,A. naeslundii,6,31.6
Commensal,Static,21,A. naeslundii,7,38.0
Commensal,Static,21,A. naeslundii,8,44.9
Commensal,Static,21,A. naeslundii,9,50.0
Commensal,Static,21,V. dispar,1,8.0
Commensal,Static,21,V. dispar,2,12.0
Commensal,Static,21,V. dispar,3,18.0
Commensal,Static,21,V. dispar,4,24.0
Commensal,Static,21,V. dispar,5,28.0
Commensal,Static,21,V. dispar,6,32.0
Commensal,Static,21,V. dispar,7,38.0
Commensal,Static,21,V. dispar,8,44.0
Commensal,Static,21,V. dispar,9,48.0
Commensal,Static,21,F. nucleatum,1,0.0
Commensal,Static,21,F. nucleatum,2,0.0
Commensal,Static,21,F. nucleatum,3,2.0
Commensal,Static,21,F. nucleatum,4,4.4
Commensal,Static,21,F. nucleatum,5,6.0
Commensal,Static,21,F. nucleatum,6,7.6
Commensal,Static,21,F. nucleatum,7,10.0
Commensal,Static,21,F. nucleatum,8,12.4
Commensal,Static,21,F. nucleatum,9,14.0
Commensal,Static,21,P. gingivalis_20709,1,0.0
Commensal,Static,21,P. gingivalis_20709,2,0.0
Commensal,Static,21,P. gingivalis_20709,3,1.0
Commensal,Static,21,P. gingivalis_20709,4,2.8
Commensal,Static,21,P. gingivalis_20709,5,4.0
Commensal,Static,21,P. gingivalis_20709,6,5.2
Commensal,Static,21,P. gingivalis_20709,7,7.0
Commensal,Static,21,P. gingivalis_20709,8,8.8
Commensal,Static,21,P. gingivalis_20709,9,10.0
Commensal,HOBIC,1,S. oralis,1,34.0
Commensal,HOBIC,1,S. oralis,2,43.6
Commensal,HOBIC,1,S. oralis,3,52.0
Commensal,HOBIC,1,S. oralis,4,62.4
Commensal,HOBIC,1,S. oralis,5,68.0
Commensal,HOBIC,1,S. oralis,6,73.6
Commensal,HOBIC,1,S. oralis,7,80.0
Commensal,HOBIC,1,S. oralis,8,88.4
Commensal,HOBIC,1,S. oralis,9,92.0
Commensal,HOBIC,1,A. naeslundii,1,0.0
Commensal,HOBIC,1,A. naeslundii,2,0.0
Commensal,HOBIC,1,A. naeslundii,3,1.0
Commensal,HOBIC,1,A. naeslundii,4,2.5999999999999996
Commensal,HOBIC,1,A. naeslundii,5,4.0
Commensal,HOBIC,1,A. naeslundii,6,5.4
Commensal,HOBIC,1,A. naeslundii,7,8.0
Commensal,HOBIC,1,A. naeslundii,8,10.1
Commensal,HOBIC,1,A. naeslundii,9,14.0
Commensal,HOBIC,1,V. dispar,1,1.0
Commensal,HOBIC,1,V. dispar,2,0.0
Commensal,HOBIC,1,V. dispar,3,4.0
Commensal,HOBIC,1,V. dispar,4,8.2
Commensal,HOBIC,1,V. dispar,5,11.0
Commensal,HOBIC,1,V. dispar,6,13.8
Commensal,HOBIC,1,V. dispar,7,18.0
Commensal,HOBIC,1,V. dispar,8,22.2
Commensal,HOBIC,1,V. dispar,9,26.0
Commensal,HOBIC,1,F. nucleatum,1,0.0
Commensal,HOBIC,1,F. nucleatum,2,0.0
Commensal,HOBIC,1,F. nucleatum,3,3.0
Commensal,HOBIC,1,F. nucleatum,4,5.8
Commensal,HOBIC,1,F. nucleatum,5,8.0
Commensal,HOBIC,1,F. nucleatum,6,10.2
Commensal,HOBIC,1,F. nucleatum,7,14.0
Commensal,HOBIC,1,F. nucleatum,8,17.3
Commensal,HOBIC,1,F. nucleatum,9,20.0
Commensal,HOBIC,1,P. gingivalis_20709,1,0.0
Commensal,HOBIC,1,P. gingivalis_20709,2,0.0
Commensal,HOBIC,1,P. gingivalis_20709,3,0.0
Commensal,HOBIC,1,P. gingivalis_20709,4,1.4
Commensal,HOBIC,1,P. gingivalis_20709,5,2.0
Commensal,HOBIC,1,P. gingivalis_20709,6,2.6
Commensal,HOBIC,1,P. gingivalis_20709,7,3.0
Commensal,HOBIC,1,P. gingivalis_20709,8,3.9
Commensal,HOBIC,1,P. gingivalis_20709,9,5.0
Commensal,HOBIC,3,S. oralis,1,50.0
Commensal,HOBIC,3,S. oralis,2,60.8
Commensal,HOBIC,3,S. oralis,3,68.0
Commensal,HOBIC,3,S. oralis,4,77.2
Commensal,HOBIC,3,S. oralis,5,82.0
Commensal,HOBIC,3,S. oralis,6,86.8
Commensal,HOBIC,3,S. oralis,7,92.0
Commensal,HOBIC,3,S. oralis,8,99.2
Commensal,HOBIC,3,S. oralis,9,97.0
Commensal,HOBIC,3,A. naeslundii,1,0.0
Commensal,HOBIC,3,A. naeslundii,2,0.0
Commensal,HOBIC,3,A. naeslundii,3,0.0
Commensal,HOBIC,3,A. naeslundii,4,1.4
Commensal,HOBIC,3,A. naeslundii,5,2.0
Commensal,HOBIC,3,A. naeslundii,6,2.6
Commensal,HOBIC,3,A. naeslundii,7,3.0
Commensal,HOBIC,3,A. naeslundii,8,3.9
Commensal,HOBIC,3,A. naeslundii,9,5.0
Commensal,HOBIC,3,V. dispar,1,1.0
Commensal,HOBIC,3,V. dispar,2,0.0
Commensal,HOBIC,3,V. dispar,3,3.0
Commensal,HOBIC,3,V. dispar,4,5.8
Commensal,HOBIC,3,V. dispar,5,8.0
Commensal,HOBIC,3,V. dispar,6,10.2
Commensal,HOBIC,3,V. dispar,7,14.0
Commensal,HOBIC,3,V. dispar,8,17.3
Commensal,HOBIC,3,V. dispar,9,20.0
Commensal,HOBIC,3,F. nucleatum,1,0.0
Commensal,HOBIC,3,F. nucleatum,2,0.0
Commensal,HOBIC,3,F. nucleatum,3,1.0
Commensal,HOBIC,3,F. nucleatum,4,2.2
Commensal,HOBIC,3,F. nucleatum,5,3.0
Commensal,HOBIC,3,F. nucleatum,6,3.8
Commensal,HOBIC,3,F. nucleatum,7,5.0
Commensal,HOBIC,3,F. nucleatum,8,6.2
Commensal,HOBIC,3,F. nucleatum,9,8.0
Commensal,HOBIC,3,P. gingivalis_20709,1,0.0
Commensal,HOBIC,3,P. gingivalis_20709,2,0.0
Commensal,HOBIC,3,P. gingivalis_20709,3,0.0
Commensal,HOBIC,3,P. gingivalis_20709,4,1.4
Commensal,HOBIC,3,P. gingivalis_20709,5,2.0
Commensal,HOBIC,3,P. gingivalis_20709,6,2.6
Commensal,HOBIC,3,P. gingivalis_20709,7,3.0
Commensal,HOBIC,3,P. gingivalis_20709,8,3.9
Commensal,HOBIC,3,P. gingivalis_20709,9,5.0
Commensal,HOBIC,6,S. oralis,1,28.0
Commensal,HOBIC,6,S. oralis,2,35.0
Commensal,HOBIC,6,S. oralis,3,44.0
Commensal,HOBIC,6,S. oralis,4,54.0
Commensal,HOBIC,6,S. oralis,5,60.0
Commensal,HOBIC,6,S. oralis,6,66.0
Commensal,HOBIC,6,S. oralis,7,74.0
Commensal,HOBIC,6,S. oralis,8,83.0
Commensal,HOBIC,6,S. oralis,9,86.0
Commensal,HOBIC,6,A. naeslundii,1,0.0
Commensal,HOBIC,6,A. naeslundii,2,0.0
Commensal,HOBIC,6,A. naeslundii,3,1.0
Commensal,HOBIC,6,A. naeslundii,4,2.2
Commensal,HOBIC,6,A. naeslundii,5,3.0
Commensal,HOBIC,6,A. naeslundii,6,3.8
Commensal,HOBIC,6,A. naeslundii,7,5.0
Commensal,HOBIC,6,A. naeslundii,8,6.2
Commensal,HOBIC,6,A. naeslundii,9,8.0
Commensal,HOBIC,6,V. dispar,1,4.0
Commensal,HOBIC,6,V. dispar,2,6.3
Commensal,HOBIC,6,V. dispar,3,12.0
Commensal,HOBIC,6,V. dispar,4,18.2
Commensal,HOBIC,6,V. dispar,5,22.0
Commensal,HOBIC,6,V. dispar,6,25.8
Commensal,HOBIC,6,V. dispar,7,31.0
Commensal,HOBIC,6,V. dispar,8,36.7
Commensal,HOBIC,6,V. dispar,9,42.0
Commensal,HOBIC,6,F. nucleatum,1,0.0
Commensal,HOBIC,6,F. nucleatum,2,0.20000000000000018
Commensal,HOBIC,6,F. nucleatum,3,2.0
Commensal,HOBIC,6,F. nucleatum,4,3.8
Commensal,HOBIC,6,F. nucleatum,5,5.0
Commensal,HOBIC,6,F. nucleatum,6,6.2
Commensal,HOBIC,6,F. nucleatum,7,8.0
Commensal,HOBIC,6,F. nucleatum,8,9.8
Commensal,HOBIC,6,F. nucleatum,9,12.0
Commensal,HOBIC,6,P. gingivalis_20709,1,0.0
Commensal,HOBIC,6,P. gingivalis_20709,2,0.0
Commensal,HOBIC,6,P. gingivalis_20709,3,1.0
Commensal,HOBIC,6,P. gingivalis_20709,4,2.2
Commensal,HOBIC,6,P. gingivalis_20709,5,3.0
Commensal,HOBIC,6,P. gingivalis_20709,6,3.8
Commensal,HOBIC,6,P. gingivalis_20709,7,5.0
Commensal,HOBIC,6,P. gingivalis_20709,8,6.2
Commensal,HOBIC,6,P. gingivalis_20709,9,8.0
Commensal,HOBIC,10,S. oralis,1,16.0
Commensal,HOBIC,10,S. oralis,2,24.2
Commensal,HOBIC,10,S. oralis,3,32.0
Commensal,HOBIC,10,S. oralis,4,40.8
Commensal,HOBIC,10,S. oralis,5,46.0
Commensal,HOBIC,10,S. oralis,6,51.2
Commensal,HOBIC,10,S. oralis,7,58.0
Commensal,HOBIC,10,S. oralis,8,65.8
Commensal,HOBIC,10,S. oralis,9,72.0
Commensal,HOBIC,10,A. naeslundii,1,2.0
Commensal,HOBIC,10,A. naeslundii,2,1.1
Commensal,HOBIC,10,A. naeslundii,3,5.0
Commensal,HOBIC,10,A. naeslundii,4,9.4
Commensal,HOBIC,10,A. naeslundii,5,12.0
Commensal,HOBIC,10,A. naeslundii,6,14.6
Commensal,HOBIC,10,A. naeslundii,7,18.0
Commensal,HOBIC,10,A. naeslundii,8,21.9
Commensal,HOBIC,10,A. naeslundii,9,26.0
Commensal,HOBIC,10,V. dispar,1,5.0
Commensal,HOBIC,10,V. dispar,2,9.0
Commensal,HOBIC,10,V. dispar,3,15.0
Commensal,HOBIC,10,V. dispar,4,22.0
Commensal,HOBIC,10,V. dispar,5,26.0
Commensal,HOBIC,10,V. dispar,6,30.0
Commensal,HOBIC,10,V. dispar,7,35.0
Commensal,HOBIC,10,V. dispar,8,41.0
Commensal,HOBIC,10,V. dispar,9,46.0
Commensal,HOBIC,10,F. nucleatum,1,0.0
Commensal,HOBIC,10,F. nucleatum,2,0.20000000000000018
Commensal,HOBIC,10,F. nucleatum,3,2.0
Commensal,HOBIC,10,F. nucleatum,4,3.8
Commensal,HOBIC,10,F. nucleatum,5,5.0
Commensal,HOBIC,10,F. nucleatum,6,6.2
Commensal,HOBIC,10,F. nucleatum,7,8.0
Commensal,HOBIC,10,F. nucleatum,8,9.8
Commensal,HOBIC,10,F. nucleatum,9,12.0
Commensal,HOBIC,10,P. gingivalis_20709,1,0.0
Commensal,HOBIC,10,P. gingivalis_20709,2,0.0
Commensal,HOBIC,10,P. gingivalis_20709,3,1.0
Commensal,HOBIC,10,P. gingivalis_20709,4,2.2
Commensal,HOBIC,10,P. gingivalis_20709,5,3.0
Commensal,HOBIC,10,P. gingivalis_20709,6,3.8
Commensal,HOBIC,10,P. gingivalis_20709,7,5.0
Commensal,HOBIC,10,P. gingivalis_20709,8,6.2
Commensal,HOBIC,10,P. gingivalis_20709,9,8.0
Commensal,HOBIC,15,S. oralis,1,8.0
Commensal,HOBIC,15,S. oralis,2,14.8
Commensal,HOBIC,15,S. oralis,3,22.0
Commensal,HOBIC,15,S. oralis,4,29.2
Commensal,HOBIC,15,S. oralis,5,34.0
Commensal,HOBIC,15,S. oralis,6,38.8
Commensal,HOBIC,15,S. oralis,7,46.0
Commensal,HOBIC,15,S. oralis,8,53.2
Commensal,HOBIC,15,S. oralis,9,60.0
Commensal,HOBIC,15,A. naeslundii,1,4.0
Commensal,HOBIC,15,A. naeslundii,2,6.3
Commensal,HOBIC,15,A. naeslundii,3,12.0
Commensal,HOBIC,15,A. naeslundii,4,18.2
Commensal,HOBIC,15,A. naeslundii,5,22.0
Commensal,HOBIC,15,A. naeslundii,6,25.8
Commensal,HOBIC,15,A. naeslundii,7,31.0
Commensal,HOBIC,15,A. naeslundii,8,36.7
Commensal,HOBIC,15,A. naeslundii,9,42.0
Commensal,HOBIC,15,V. dispar,1,5.0
Commensal,HOBIC,15,V. dispar,2,10.0
Commensal,HOBIC,15,V. dispar,3,16.0
Commensal,HOBIC,15,V. dispar,4,23.0
Commensal,HOBIC,15,V. dispar,5,27.0
Commensal,HOBIC,15,V. dispar,6,31.0
Commensal,HOBIC,15,V. dispar,7,36.0
Commensal,HOBIC,15,V. dispar,8,42.0
Commensal,HOBIC,15,V. dispar,9,48.0
Commensal,HOBIC,15,F. nucleatum,1,0.0
Commensal,HOBIC,15,F. nucleatum,2,0.20000000000000018
Commensal,HOBIC,15,F. nucleatum,3,2.0
Commensal,HOBIC,15,F. nucleatum,4,3.8
Commensal,HOBIC,15,F. nucleatum,5,5.0
Commensal,HOBIC,15,F. nucleatum,6,6.2
Commensal,HOBIC,15,F. nucleatum,7,8.0
Commensal,HOBIC,15,F. nucleatum,8,9.8
Commensal,HOBIC,15,F. nucleatum,9,12.0
Commensal,HOBIC,15,P. gingivalis_20709,1,0.0
Commensal,HOBIC,15,P. gingivalis_20709,2,0.0
Commensal,HOBIC,15,P. gingivalis_20709,3,1.0
Commensal,HOBIC,15,P. gingivalis_20709,4,3.0
Commensal,HOBIC,15,P. gingivalis_20709,5,4.0
Commensal,HOBIC,15,P. gingivalis_20709,6,5.0
Commensal,HOBIC,15,P. gingivalis_20709,7,6.0
Commensal,HOBIC,15,P. gingivalis_20709,8,7.5
Commensal,HOBIC,15,P. gingivalis_20709,9,10.0
Commensal,HOBIC,21,S. oralis,1,10.0
Commensal,HOBIC,21,S. oralis,2,16.2
Commensal,HOBIC,21,S. oralis,3,24.0
Commensal,HOBIC,21,S. oralis,4,31.8
Commensal,HOBIC,21,S. oralis,5,37.0
Commensal,HOBIC,21,S. oralis,6,42.2
Commensal,HOBIC,21,S. oralis,7,50.0
Commensal,HOBIC,21,S. oralis,8,57.8
Commensal,HOBIC,21,S. oralis,9,64.0
Commensal,HOBIC,21,A. naeslundii,1,3.0
Commensal,HOBIC,21,A. naeslundii,2,3.7
Commensal,HOBIC,21,A. naeslundii,3,10.0
Commensal,HOBIC,21,A. naeslundii,4,16.8
Commensal,HOBIC,21,A. naeslundii,5,21.0
Commensal,HOBIC,21,A. naeslundii,6,25.2
Commensal,HOBIC,21,A. naeslundii,7,31.0
Commensal,HOBIC,21,A. naeslundii,8,37.3
Commensal,HOBIC,21,A. naeslundii,9,44.0
Commensal,HOBIC,21,V. dispar,1,4.0
Commensal,HOBIC,21,V. dispar,2,5.4
Commensal,HOBIC,21,V. dispar,3,12.0
Commensal,HOBIC,21,V. dispar,4,19.6
Commensal,HOBIC,21,V. dispar,5,24.0
Commensal,HOBIC,21,V. dispar,6,28.4
Commensal,HOBIC,21,V. dispar,7,34.0
Commensal,HOBIC,21,V. dispar,8,40.6
Commensal,HOBIC,21,V. dispar,9,46.0
Commensal,HOBIC,21,F. nucleatum,1,0.0
Commensal,HOBIC,21,F. nucleatum,2,0.0
Commensal,HOBIC,21,F. nucleatum,3,2.0
Commensal,HOBIC,21,F. nucleatum,4,4.4
Commensal,HOBIC,21,F. nucleatum,5,6.0
Commensal,HOBIC,21,F. nucleatum,6,7.6
Commensal,HOBIC,21,F. nucleatum,7,10.0
Commensal,HOBIC,21,F. nucleatum,8,12.4
Commensal,HOBIC,21,F. nucleatum,9,15.0
Commensal,HOBIC,21,P. gingivalis_20709,1,0.0
Commensal,HOBIC,21,P. gingivalis_20709,2,0.0
Commensal,HOBIC,21,P. gingivalis_20709,3,1.0
Commensal,HOBIC,21,P. gingivalis_20709,4,3.5999999999999996
Commensal,HOBIC,21,P. gingivalis_20709,5,5.0
Commensal,HOBIC,21,P. gingivalis_20709,6,6.4
Commensal,HOBIC,21,P. gingivalis_20709,7,8.0
Commensal,HOBIC,21,P. gingivalis_20709,8,10.1
Commensal,HOBIC,21,P. gingivalis_20709,9,12.0
Dysbiotic,Static,1,S. oralis,1,2.0
Dysbiotic,Static,1,S. oralis,2,2.8
Dysbiotic,Static,1,S. oralis,3,7.0
Dysbiotic,Static,1,S. oralis,4,11.2
Dysbiotic,Static,1,S. oralis,5,14.0
Dysbiotic,Static,1,S. oralis,6,16.8
Dysbiotic,Static,1,S. oralis,7,21.0
Dysbiotic,Static,1,S. oralis,8,25.2
Dysbiotic,Static,1,S. oralis,9,28.0
